name,booth,homepage,categories,overview,partner_url
Dishup srl,hall1 Booth C15-013,https://dishup.it,"Fintech, Banking & Crypto, Retail & E-commerce","Dishup is an Italian fintech startup transforming the restaurant industry. Our all-in-one platform streamlines digital menus, order management, payments, and kitchen operations. With seamless integration and a cloud-native system, Dishup helps restaurants",https://vivatechnology.com/partners/dishup-srl
DMILLION,hall1 Booth K12-002,https://www.dmillion.co.kr/,"Artificial Intelligence, Consulting & B2B services, Industry & Supply Chain",DMILLION is Industrial AX & Autonomous Manufacturing Partner.,https://vivatechnology.com/partners/dmillion
DOCNKIT,hall1 Booth G50-007,https://www.docnkit.com,Healthcare & Wellness,"Est-ce que c'est grave? Doctokit, une application mobile conçue par des médecins, évalue l'urgence de vos symptômes afin de vous accompagner vers la solution idéale, afin d'éviter des heures d'attentes inutiles et faciliter l'accès aux soins pour tous.",https://vivatechnology.com/partners/docnkit
DocTripper,hall1 Booth B18-021,,"Artificial Intelligence, HR & Future of Work, Marketing & Advertising","DocTripper is a platform that connects healthcare students and professionals with temporary and permanent job opportunities in rural and underserved areas, helping communities attract talent through visibility, support, and tailored experiences.",https://vivatechnology.com/partners/doctripper
Docusign,hall1 Booth G57,https://www.docusign.com/fr-fr,"Artificial Intelligence, Cybersecurity, Cloud & Infrastructure, Data Management & CRM","Docusign brings agreements to life. Nearly 1.7 million customers and more than a billion people in over 180 countries use Docusign solutions to accelerate the process of doing business and simplify people’s lives. With intelligent agreement management, Docusign unleashes business-critical data that is trapped inside of documents. Until now, these were disconnected from business systems of record, costing businesses time, money, and opportunity. Using the Docusign Intelligent Agreement Management platform, companies can create, commit, and manage agreements with solutions created by the #1 company in e-signature and contract lifecycle management (CLM). For more information visit http://www.docusign.com.

Meet us at Booth G57 - Hall 1",https://vivatechnology.com/partners/docusign
DOMELIOR,hall1 Booth J37-006,,"Artificial Intelligence, Healthcare & Wellness, Consulting & B2B services","Domelior accompagne les bénéficiaires et les professionnels dans la mise en oeuvre d aménagements adaptés, pour un domicile plus sûr et accessible.",https://vivatechnology.com/partners/domelior
dotflow,hall1 Booth J38-003,https://www.dotflow.ai,"Mobility & Smart Cities, Robotics, Industry & Supply Chain","Dotflow delivers fully embedded train geolocation, with high accuracy, even underground, reducing reliance on infrastructure. A smart solution for real-time tracking and agile maintenance.",https://vivatechnology.com/partners/dotflow
DouzePointCinq,hall1 Booth J37-019,https://douzepointcinq.com/,"Industry & Supply Chain, Mobility & Smart Cities, Retail & E-commerce","12.5 transforms underused urban spaces into flexible, secure, and modular hubs for e-commerce and urban last-mile delivery. We provide on-demand warehouse space, adjusting by size and duration, to improve efficiency and streamline last-mile logistics.",https://vivatechnology.com/partners/douzepointcinq
Dove Innovations,hall1 Booth L29-018,https://www.doveinnovations.com,"Connectivity, Cloud & Infrastructure, Energy, Mobility & Smart Cities","Dove Innovations is a technology company specializing in smart homes in Africa. Through its brand, DOVA, it offers connected products for sustainable energy management via a mobile application. The company is looking for funding.",https://vivatechnology.com/partners/dove-innovations
DOXANANO,hall1 Booth B18-022,https://doxanano.com/,"Artificial Intelligence, Healthcare & Wellness, Growth & Investment",DOXANANO is an early stage start-up in precision nanomedicines. Our goal is to revolutionize chemotherapy for a large number of patients thanks to a ground-breaking therapeutic approach called Remotely Activated Chemotherapy (RAC®).,https://vivatechnology.com/partners/doxanano
DWS Engraving,hall1 Booth D37-008,https://dws-engraving.com/en/,"Luxury, Fashion & Cosmetics, Marketing & Advertising, Retail & E-commerce","DWS has redefined product personalization in both retail and e-commerce with its elegant, compact laser engraving machines that integrate seamlessly into luxury merchandising environments.",https://vivatechnology.com/partners/dws-engraving
Dydu,hall2 Booth P15,https://www.dydu.ai/,Artificial Intelligence,"Depuis 2009, Dydu propose une plateforme no code intuitive à destination des professionnels pour concevoir en toute autonomie des agents conversationnels intelligents : chatbot, voicebot, callbot.
Nos solutions s’appuient sur la compréhension du langage naturel, l’intelligence artificielle et l’IA Générative pour alléger le quotidien des équipes support tout en améliorant la satisfaction des utilisateurs.
Déployés dans le cadre de plus de 160 projets SaaS ou on-premise, les bots Dydu adressent des problématiques de service client et de support aux collaborateurs (RH, helpdesk IT, juridique…) dans des secteurs aussi variés que l’énergie, l’industrie automobile, la finance, les assurances, les transports, le tourisme, les télécoms ou le secteur public.",https://vivatechnology.com/partners/dydu
E-miRgency,hall1 Booth L24-004,https://www.e-mirgency.com,"Data Management & CRM, Growth & Investment",e-miRgency is transforming cancer diagnostic and patient follow-up by using miRNA as biomarkers with our patented breakthrough technology.,https://vivatechnology.com/partners/e-mirgency
E-PEAS,hall1 Booth C27-025,https://e-peas.com,Energy,"e-peas revolutionizes IoT with energy harvesting solutions, eliminating disposable batteries by using light, RF, heat, and motion. Our PMICs achieve up to 95% efficiency and integrate seamlessly with various energy sources.",https://vivatechnology.com/partners/e-peas
E4RTH,hall1 Booth D11-007,https://www.fore4rth.com,"Climate Tech, Industry & Supply Chain, Food & Agriculture","E4RTH enables maximum transparency for all types of projects : climate, social, and even political donations, via blockchain-based documentation. Our tech ensures traceable CO2 compensation and answers the key question: Where did my money go ?",https://vivatechnology.com/partners/e4rth
EaysBiz,hall1 Booth D09-004,https://easybiz.lu/,"Fintech, Banking & Crypto, Consulting & B2B services, Data Management & CRM",EasyBiz is the digital-first way to launch and run your business in Luxembourg. We handle incorporation and accounting for SMEs with a smart platform and local expert support — so you can focus on what you do best.,https://vivatechnology.com/partners/eaysbiz
Eazy Chain,hall1 Booth M30-003,https://www.eazy-chain.com,"Climate Tech, Industry & Supply Chain, Growth & Investment","Eazy Chain is a shipping company that offers sea-short service in West Africa, connecting major hub ports to smaller ports with a wind-powered vessel connected to a digital platform that helps users to book shipments, and track cargo in real time.",https://vivatechnology.com/partners/eazy-chain
EBS Group,hall1 Booth M18-003,https://www.ebsgroup.fr,"Artificial Intelligence, Connectivity, Cloud & Infrastructure, Cybersecurity","EBS Group, Expert de votre transformation digitale. Nous vous accompagnons à chaque étape : un seul partenaire, une gamme de solutions complémentaires et interconnectées.
Concentrez-vous sur votre coeur de métier, nous nous occupons du reste.",https://vivatechnology.com/partners/ebs-group
Ecal,hall1 Booth L16-001,https://ecal.com/,"Sports, Gaming & Esports, GovTech & Public sector","ECAL is the worlds leading calendar marketing platform, delivering smart, dynamic and personalised events content directly into the personal digital calendar of users, to keep them up-to-date, connected and engaged.",https://vivatechnology.com/partners/ecal
ECTOR,hall1 Booth D17-004,https://www.ectorparking.com,"Retail & E-commerce, Mobility & Smart Cities, Artificial Intelligence","Ector is the leading operator of valet parking services at airports and train stations since 2013 offering travelers a digital, personalized, and cost-effective solution to enhance their travel experience.",https://vivatechnology.com/partners/ector
EFIMOVE,hall1 Booth D49-002,https://efimove.ai,"Industry & Supply Chain, Artificial Intelligence","ARKYCE by Efimove: the SaaS AI platform that structures field knowledge, secures maintenance, and speeds up onboarding for industrial SMEs and mid-sized companies.",https://vivatechnology.com/partners/efimove
EINBLIQ.IO,hall1 Booth C54-011,https://einbliq.io,"Connectivity, Cloud & Infrastructure, Entertainment, Media & Creators Economy, Artificial Intelligence","EINBLIQ.IO optimizes streaming by using real-time data to enhance quality, reduce costs, and save energy. It automates issue resolution and CDN steering while offering ISPs insights beyond speed tests for smarter decisions and superior user experience.",https://vivatechnology.com/partners/einbliqio
EKA Surgery,hall1 Booth H22-006,https://eka.surgery,"Artificial Intelligence, Healthcare & Wellness","EKA Surgery exploits artificial intelligence and surgical video technologies to generate actionable information aimed at improving surgical quality, streamlining procedures and limiting the risks taken by surgeons.",https://vivatechnology.com/partners/eka-surgery
Ekimetrics,hall1 Booth M19,https://www.ekimetrics.com/fr,Artificial Intelligence,"In the next 10 years, all Business Models will be deeply reshaped by AI and Sustainability.  

Ekimetrics’ mission is to empower organizations with AI solutions in that context, and help companies be future-proof. We specialize in optimizing revenue, profit and mission-critical operations through a blend of AI solutions and service. 

Ekimetrics is a global leader in data science and AI-powered solutions, with offices across 3 continents, and a team of 500+ data, MMM (Marketing Mix Modeling) and AI experts. 

We're committed to delivering business impact at scale, through sustainable and ethical AI practices.",https://vivatechnology.com/partners/ekimetrics
EKOO,hall1 Booth H46-008,https://ekoo.co/,"Retail & E-commerce, Luxury, Fashion & Cosmetics, Industry & Supply Chain","EKOO brings brands to life with audio 🎧 capsules embedded in their digital journeys. The voice 🎙 ️ of experts and customers enhances experience, builds trust and drives action. Trusted by TAG Heuer, Sephora, Carrefour and BNP Paribas.",https://vivatechnology.com/partners/ekoo
Electric Oasis,hall1 Booth B21-004,https://electric-oasis.eu,"Mobility & Smart Cities, Growth & Investment","electric OASIS is an electric charging infrastructure solution for companies. Simple, quick to install and scalable without civil engineering. Not sure what to do ? Try it for 3 months with no obligation !",https://vivatechnology.com/partners/electric-oasis
Elementag,hall1 Booth C15-036,https://www.elementag.it,"Space, Aeronautics & Defense, Luxury, Fashion & Cosmetics, Industry & Supply Chain","Inorganic DNA for Products and Raw Materials. Elementag is the nanomarker that blends into any material or product, to make it traceable, authentic and to fight against its counterfeiting.",https://vivatechnology.com/partners/elementag
Elips,hall1 Booth D41-010,https://elips.ai,"Artificial Intelligence, Marketing & Advertising, Growth & Investment","Elips is the AI sales agent for pipeline follow-ups. 

It cleans CRM data, creates individual strategies, and executes timely and personalised nurturing to boost conversion.

So no opportunity goes cold or is ever forgotten.",https://vivatechnology.com/partners/elips
Elsee,hall1 Booth L11-002,,"Insurance & Legal, Healthcare & Wellness, HR & Future of Work","Elsee is the first reimbursement platform for women’s out-of-pocket wellness expenses — from supplements to alternative medicine, therapeutic sports, and mental health — making natural health finally accessible and affordable.",https://vivatechnology.com/partners/elsee
Emiotech,hall1 Booth H50-005,https://www.xpertvisio.tech,"Industry & Supply Chain, HR & Future of Work","XpertVisio empowers field teams with smart AR headsets, remote expert access, and video-based procedures—boosting efficiency, safety, and know-how sharing in industrial environments.
Meet us at VivaTech to test it yoursefl !",https://vivatechnology.com/partners/emiotech
Emovo Care,hall1 Booth B38-015,https://emovocare.com/,"Healthcare & Wellness, Robotics, Growth & Investment","Emovo develops a neural robotic hand exoskeleton to support people with motor impairments (for example stroke), at home and in clinics.",https://vivatechnology.com/partners/emovo-care
Emvista,hall1 Booth H22-007,https://emvista.com/,"Artificial Intelligence, Data Management & CRM, Consulting & B2B services","Emvista, based in Montpellier, develops AI solutions that extract and structure 100% of the information from text. Its technology, Prevyo Event, turns reports and transcripts into actionable events for monitoring, alerting, and market intelligence.",https://vivatechnology.com/partners/emvista
"EndoSemio Co., Ltd.",hall1 Booth D38-009,https://www.endosemio.com/en,"Healthcare & Wellness, Marketing & Advertising, Consulting & B2B services","EndoSemio develops compact, high-resolution endoscopy systems for human and veterinary care, enabling precise, minimally invasive diagnostics with a scalable, dual-market strategy and ongoing MDR/FDA pathways.",https://vivatechnology.com/partners/endosemio-co-ltd
Envirotech Solutions Pacific,hall2 Booth T18-007,https://espacific.org/,"Artificial Intelligence, Connectivity, Cloud & Infrastructure, Consulting & B2B services",ESP is a B2B innovative startup revolutionizing environmental compliance and monitoring. We help businesses avoid environmental fines and overcome compliance challenges by leveraging Ai and IoT to automate regulatory compliance reporting.,https://vivatechnology.com/partners/envirotech-solutions-pacific
EPICNPOC,hall1 Booth B30-012,https://epicnpoc.com/,"Mobility & Smart Cities, Space, Aeronautics & Defense","Epicnpoc helps automotive companies create smart cockpits by integrating lighting, sound, sensors, cameras, infotainment, ADAS, AD, HMI... Our BOWL® software simplifies feature integration and collaboration. Visit us to see how we support your projects.",https://vivatechnology.com/partners/epicnpoc
Epsimo AI,hall1 Booth K28-004,https://epsimoai.com,"Marketing & Advertising, Growth & Investment, Artificial Intelligence","Epsimo AI boosts your sales & marketing with smart agents that enrich leads, personalize outbound, create content, and convert prospects into real opportunities— turning your team into a growth machine. Curious? Discover what AI can really do for you.",https://vivatechnology.com/partners/epsimo-ai
Erde,hall1 Booth C01-001,https://erde.com.sv,"Robotics, Energy, Industry & Supply Chain","We develop industrial software for PLC, HMI, SCADA, MES, CMMS, IIoT and robotics applications using TIA, Ignition, NodeRED, Qt and Python. We serve customers cross-regions with a remote outsourcing model. Our engineers speak English, German and Spanish.",https://vivatechnology.com/partners/erde
EX9,hall1 Booth G12-068,https://www.ex9.tech,"Industry & Supply Chain, Mobility & Smart Cities, Robotics","EX9 transforms Logistics with a Plug&Play Autonomous Yard Operations Solution helping Supply Chain actors to streamline trailer moves from manual chaos to smart, scalable automated handling, reducing CO2, damages, errors, improving safety and efficiency.",https://vivatechnology.com/partners/ex9
Exeliom Biosciences,hall1 Booth L24-006,https://www.exeliombio.com/,"Deep Tech & Quantum Computing, Healthcare & Wellness, Growth & Investment","Exeliom is developing a groundbreaking therapy based on a gut bacterium to help patients respond better to immunotherapy. A natural, unique, and promising approach already being tested in clinical trials.",https://vivatechnology.com/partners/exeliom-biosciences
EXTRACTHIVE,hall1 Booth D11-070,https://extracthive.eu/,"Space, Aeronautics & Defense, Sports, Mobility & Smart Cities","Extracthive is a French SME dedicated to the circular economy. We have developed and patented PHYre®, an innovative technology for producing 100% recycled carbon fibers from pre- and post-consumer composite waste.",https://vivatechnology.com/partners/extracthive
Exwayz,hall1 Booth L24-007,https://www.exwayz.fr/,"Deep Tech & Quantum Computing, Industry & Supply Chain, Robotics","Exwayz develops a ground breaking positioning software solution for mobile robotics based on embedded real time 3D LiDAR data processing. We give robots a safe way for their autonomous missions, in any environment.",https://vivatechnology.com/partners/exwayz
EZYMOB,hall1 Booth D17-039,https://ezymob.fr,"Artificial Intelligence, Diversity & Inclusion, Mobility & Smart Cities",Ezymob develops 100% digital software solutions to give people with special needs (visual and cognitive disabilities) greater autonomy and freedom when travelling on public transport networks.,https://vivatechnology.com/partners/ezymob
FAACTOPI,hall1 Booth J10-006,https://www.faactopi.com/,"Space, Aeronautics & Defense, Robotics, Healthcare & Wellness","Bring your innovation to life.
Faactopi revolutionizes the industrialization process by offering a seamless path for products to market to make industrialization successful, affordable and accessible for everyone.
Faactopi, your factory for innovation.",https://vivatechnology.com/partners/faactopi
Facelift,hall1 Booth E50-005,https://facelift-bbt.com/fr/,"Retail & E-commerce, Luxury, Fashion & Cosmetics, GovTech & Public sector","Facelift is the leading European platform for communication departments to create and execute their strategy with AI-Powered Social Media Orchestration and Beyond. 
As a founding member of Entirely, Facelift is part of a flexible Martech ecosystem.",https://vivatechnology.com/partners/facelift
factorymaker FlexCo,hall1 Booth A08-034,https://factorymaker.com,"Artificial Intelligence, Industry & Supply Chain, Consulting & B2B services","Factorymaker develops novel AI-design agents to maximize costs, sustainability and efficiency of industrial production, logistics and warehouse buildings.",https://vivatechnology.com/partners/factorymaker-flexco
Famoco,hall1 Booth G12-006,https://www.famoco.com,"GovTech & Public sector, Retail & E-commerce, Industry & Supply Chain","Famoco empowers B2B partners and end-users with secure, sovereign, plug-and-play mobile solutions transforming frontline workers into digital drivers of change.",https://vivatechnology.com/partners/famoco
Femnov,passerelle Booth O08-006,https://femnov.com/,"Artificial Intelligence, Healthcare & Wellness, Consulting & B2B services","Femnov is an AI-powered medtech company helping clinicians detect gynecological conditions like endometriosis via ultrasound and symptom data. It enables faster, more accurate care through AI image analysis and automated reporting.",https://vivatechnology.com/partners/femnov
Femtech France,hall1 Booth L11,https://femtechfrance.org/,"Healthcare & Wellness, Diversity & Inclusion, HR & Future of Work, Insurance & Legal",Femtech France is the non-profit organization dedicated to accelerating innovation in women's health by supporting and connecting Femtech startups across France. It aims to foster an ecosystem that promotes women's health through innovation. Femtech France gathers 80+ startup members and collaborates with various partners from pharmaceutical companies to hospitals.,https://vivatechnology.com/partners/femtech-france
Finapp S.R.L,hall1 Booth C15-017,https://www.finapptech.com/en/,"Food & Agriculture, Climate Tech","Finapp measures soil moisture using CRNS technology, which is non-invasive and precise, covering +5 ha and 50 cm in depth. It provides real-time data, easy installation, +22% production, and -23% water usage. Recognized by the FAO and IAEA.",https://vivatechnology.com/partners/finapp-srl
Firework,hall1 Booth K02,https://firework.com/,"Luxury, Fashion & Cosmetics, Retail & E-commerce, Marketing & Advertising, Artificial Intelligence, airobotics, luxuryfashioncosmetics, marketingadvertising","Firework is an AI-powered video commerce platform transforming how brands connect, engage, and convert shoppers. We turn your site into a dynamic, shoppable experience fueled by human-first video. Trusted by L’Oréal, LEGO, and Samsung, Firework delivers video at scale, from Shoppable Videos, 24/7 Video Showrooms, and 1:1 Video Chat to AI Video Assistant. Discover more at Booth K02
/
/
Firework est la plateforme de commerce vidéo propulsée par l'IA qui transforme la manière dont les marques connectent, engagent et convertissent leurs clients. Nous rendons votre site interactif et immersif grâce à des vidéos authentiques sur chaque point de contact. Adoptée par L’Oréal, LEGO, Samsung, Firework propose des vidéos shoppables courtes et longues, des showrooms vidéo 24h/24, du chat vidéo 1:1 et des assistants IA - offrant une expérience humaine en ligne. Venez nous rencontrer sur le stand K02",https://vivatechnology.com/partners/firework
Fizix,hall1 Booth C10-019,https://fizix.ai/,"Growth & Investment, Mobility & Smart Cities, Energy","Fizix makes machines talk with its smart sensors and catches failures before they occur. With its technology that revolutionizes the industry, reduces downtime, maximizes efficiency and sustainability. The industry of the future starts today with Fizix!",https://vivatechnology.com/partners/fizix
Flashbacks,hall1 Booth H22-021,https://www.tiktok.com/@flashbacks.app,"Connectivity, Cloud & Infrastructure, Retail & E-commerce, Marketing & Advertising","Flashbacks creates the first immersive memory museum through our personalized objects connected to an instant, interactive 360° virtual gallery. A unique emotional experience blending nostalgia and the future of remembering.",https://vivatechnology.com/partners/flashbacks
Fliption KOR,hall1 Booth D44-004,https://www.fliption.com/,"Luxury, Fashion & Cosmetics, Retail & E-commerce, Marketing & Advertising","Fliption is a company that reduces fashion brands’ on-model photoshoot costs by 80% with virtual try-on AI. With just one product image, our SaaS platform automatically generates on-model content featuring diverse body types and skin tones.",https://vivatechnology.com/partners/fliption-kor
FLOODFRAME,hall1 Booth G12-005,https://floodframe.com/fr,Energy,"FLOODFRAME protects all types of buildings against flooding. Faced with amplification of major natural risks, FLOODFRAME offers the only LOWTECH, integral, waterproof, autonomous and permanent solution whatever the height and duration of flooding.",https://vivatechnology.com/partners/floodframe
Flow Analytics Pro,hall1 Booth D49-001,https://flowanalyticspro.com,"Artificial Intelligence, Consulting & B2B services, Data Management & CRM","Measure, Analyze, Improve! Measure your Flow Metrics (Jira) - DORA Metrics (Gitlab, Github), manage the functional and technical assessments of your teams and your organization, with the power of Artificial Intelligence.",https://vivatechnology.com/partners/flow-analytics-pro
fluiidd S.A.S.,hall1 Booth B30-013,,"Energy, Industry & Supply Chain, Food & Agriculture","Industrial Flows, Reimagined.
Fluiidd, a CEA spin-off, brings next-generation industrial scanners for resilient, optimized, and sustainable flow monitoring. Step into the future of preventive maintenance!",https://vivatechnology.com/partners/fluiidd-sas
fluiidd S.A.S.,hall1 Booth D11-071,https://www.fluiidd.com,"Energy, Food & Agriculture, Industry & Supply Chain","Industrial Flows, Reimagined. Fluiidd, a CEA spin-off, brings next-generation industrial scanners for resilient, optimized, and sustainable flow monitoring. Step into the future of preventive maintenance!",https://vivatechnology.com/partners/fluiidd-sas-2
Flyte,hall1 Booth F25-010,https://www.appflyte.fr/,"Mobility & Smart Cities, Climate Tech","Flyte is a mobile app reinventing carpooling by making it social, spontaneous, and community-based. It enables users to share rides within trusted groups — colleagues, students, event-goers — turning every trip into a shared experience.",https://vivatechnology.com/partners/flyte
FNAC DARTY,hall2 Booth U18,https://www.fnac.com/,"Artificial Intelligence, Gaming & Esports, Retail & E-commerce",french retailer #1 on IT and cultural goods,https://vivatechnology.com/partners/fnac-darty
Focoos AI,hall1 Booth C15-019,https://www.focoos.ai,"Artificial Intelligence, Space, Aeronautics & Defense, Mobility & Smart Cities","Focoos AI offers a dev platform and open-source model library of top-performing  computer vision models. Develop, monitor, and deploy  models with full continuity between code and platform. From edge to cloud, AI development made simple and efficient.",https://vivatechnology.com/partners/focoos-ai
Footovision,hall1 Booth F28-006,https://www.footovision.com,"Artificial Intelligence, Sports, Deep Tech & Quantum Computing","We use AI and computer vision to deliver advanced performance service from match videos and betting risk analysis solutions.​

We support clubs, leagues, media, and betting operators with deep, actionnable football insights.",https://vivatechnology.com/partners/footovision
Foretell My Health,hall1 Booth D44-005,https://en.foretell.bio,"Healthcare & Wellness, Growth & Investment, Insurance & Legal","Foretell My Health develops blood-based cancer diagnostics using platelet RNA, image cytometry, and hematology data. We offer early detection for ovarian cancer and are expanding to 11 more types with support from Korea's ARPA-H initiative.",https://vivatechnology.com/partners/foretell-my-health
Formation Bio,hall1 Booth J24-003,https://www.formation.bio,"Artificial Intelligence, Healthcare & Wellness","AI-native pharma company, focused on more efficient drug development. Formation in-licenses promising drug assets and develops them in house, leveraging their tech and AI platform to improve development speed, cost, and probability of success.",https://vivatechnology.com/partners/formation-bio
Four Data,hall1 Booth H50-008,https://fourdata.io,"Mobility & Smart Cities, Artificial Intelligence, Connectivity, Cloud & Infrastructure","FourData is a leading company in the IoT sectors and specially in the remote tank monitoring management. With more than 100,000 assets managed in Europe, FourData is providing key data for logistics & routes optimization, marketing & sales.",https://vivatechnology.com/partners/four-data
Funartech Inc,hall1 Booth K40-039,https://www.funartech.com,"Industry & Supply Chain, Artificial Intelligence, Mobility & Smart Cities","We are pioneers in hybrid AI and optimize complex industrial processes by 20 to 40% with efficient, robust and frugal AI solutions. We are specialized in manufacturing but our AI applies to any domain.",https://vivatechnology.com/partners/funartech-inc
Funartech SAS,hall1 Booth G12-021,https://www.funartech.com,"Artificial Intelligence, Industry & Supply Chain, Mobility & Smart Cities","Notre mission est d'aider les compagnies à améliorer leurs processus industriels complexes à l'aide d'une IA de confiance, très efficace et frugale. Nous optimisons les processus de 20 à 40%. Nous construisons aussi l'IA de demain avec l'approche hybride.",https://vivatechnology.com/partners/funartech-sas
Galeio,hall1 Booth D41-011,https://www.galeio.fr,"Artificial Intelligence, Energy, Space, Aeronautics & Defense","Galeio builds custom foundation models and advanced analytics solutions tailored to complex or unconventional data, including multispectral and radar imagery, multimodal sources, and beyond.",https://vivatechnology.com/partners/galeio
gCube,hall1 Booth C15-020,https://gcube.digital/,"Consulting & B2B services, Growth & Investment, Entertainment, Media & Creators Economy","gCube makes digital innovation sustainable by blending strategy, design, tech & innovative finance to empower SMEs and PAs with tailor-made solutions.",https://vivatechnology.com/partners/gcube
GEMESYS GmbH,hall1 Booth D11-023,https://gemesys.tech,"Artificial Intelligence, Deep Tech & Quantum Computing, Space, Aeronautics & Defense","GEMESYS is developing the worlds first fully analog AI chip capable of training and inference directly on edge devices, inspired by the efficiency of the human brain.",https://vivatechnology.com/partners/gemesys-gmbh
General Robotics,hall1 Booth H22-027,https://www.general-robotics.com,"Artificial Intelligence, Robotics, Industry & Supply Chain","General Robotics builds AI-driven modular robots, offering unmatched flexibility and record deployment speed for industry.",https://vivatechnology.com/partners/general-robotics
Genesis,hall1 Booth F42-003,https://www.genesis.live/,"Climate Tech, Food & Agriculture, Industry & Supply Chain","Genesis turns complex land-use data into actionable environmental intelligence. By combining soil sampling, remote sensing, and farming practice data, our SaaS platform delivers science-based, verifiable insights on soil health and ecosystem impact.",https://vivatechnology.com/partners/genesis
Genoma - grow your business,hall1 Booth C15-006,https://www.genoma-group.com,Artificial Intelligence,"AI Marketing strategist that turns market data and business goals into instant, actionable decisions. Our mission is to make world-class strategy accessible to every entrepreneur. No time wasted, no consultants needed, no barriers to grow.",https://vivatechnology.com/partners/genoma-grow-your-business
GeoMate Inc,hall1 Booth K40-042,https://geomate.ca,"Artificial Intelligence, Mobility & Smart Cities, Consulting & B2B services","GeoMate delivers AI-powered 3D maps for smart mobility, simulation, and AD/ADAS. Using aerial imagery, we generate high-precision, compact HD maps in formats like OpenDrive and Lanelet2—offering scalable, cost-effective alternatives to LiDAR.",https://vivatechnology.com/partners/geomate-inc
GK Concept,hall1 Booth F49-005,,"Data Management & CRM, Retail & E-commerce, Luxury, Fashion & Cosmetics","We create interactive technologies that track shopper behavior to boost traffic, conversion rates, and basket size across all retail formats. Headquartered in Paris and New York, we deploy globally to support brands everywhere.",https://vivatechnology.com/partners/gk-concept
go AVA,hall1 Booth D11-087,https://goava.ai/en,"Artificial Intelligence, HR & Future of Work, Retail & E-commerce","go AVA creates hyper-realistic and interactive digital humans for real-time customer engagement. With sub-0.5 s response, instant language switching (80+), patented technology and GDPR-compliant sovereign hosting, we transform CX. Now scaling into EU.",https://vivatechnology.com/partners/go-ava
Golana Computing,hall1 Booth L25-006,https://www.golana.fr,"Artificial Intelligence, Deep Tech & Quantum Computing, Industry & Supply Chain","Golana Computing boots industrial asset management with AI-powered plug & play tech. Its bio-inspired neural networks quickly identify anomalies from raw signals. With 2.5M€ EIC funding, it improves predictive maintenance, process optimization and quality",https://vivatechnology.com/partners/golana-computing
Good On You,hall2 Booth T18-008,https://goodonyou.eco/,"Climate Tech, Growth & Investment, Retail & E-commerce","Good On You is the go-to sustainability ratings platform for retail. With comprehensive data on 6,000+ brands, we help retailers boost portfolio performance and connect with conscious shoppers.",https://vivatechnology.com/partners/good-on-you
GOOGLE,hall1,https://about.google/,"Artificial Intelligence, Connectivity, Cloud & Infrastructure, Deep Tech & Quantum Computing, Marketing & Advertising","Google's mission is to organize the world's information and make it universally accessible and useful. 

By making AI helpful for everyone, we're committed to improving the lives of as many people as possible. And we’ll continue to responsibly build products and platforms – powered by the most advanced technology – for billions of people around the world.",https://vivatechnology.com/partners/google
GraphMyTech,hall1 Booth G50-010,https://youtu.be/0uqrJTXw0sg,"Consulting & B2B services, Deep Tech & Quantum Computing, Artificial Intelligence","GraphMyTech is a SaaS platform combining AI and graph theory to transform patents, publications, and internal documents into insights for strategic monitoring, technology mapping, and competitor analysis, accelerating innovation, ROI, and competitiveness.",https://vivatechnology.com/partners/graphmytech
GRAVIPACK,hall1 Booth D17-038,https://www.gravipack.com,"Healthcare & Wellness, Retail & E-commerce, Industry & Supply Chain","Gravipack reinvents load carrying with ergonomic backpacks featuring a patented, ultra-light exoskeleton. This medically inspired innovation reduces back strain and improves posture, comfort, and quality of life at work, in motion, and on the go.",https://vivatechnology.com/partners/gravipack
GREEN-E,hall1 Booth D17-037,https://greene.green,"Energy, Retail & E-commerce",Fabricant français d'accessoires de charge pour smartphones et ordinateurs.,https://vivatechnology.com/partners/green-e
Green Edge Computing Corp. (GECCO),hall1 Booth K40-045,https://g3cco.com,"Artificial Intelligence, Connectivity, Cloud & Infrastructure, Mobility & Smart Cities","GECCO’s mission is to disrupt the edge computing industry by introducing sustainable enterprise-grade computing solutions that reduce the size, weight, power, cooling, and environmental impact of traditional rack-mounted servers by 80%.",https://vivatechnology.com/partners/green-edge-computing-corp-gecco
Green Praxis,hall1 Booth J37-004,https://www.greenpraxis.com,Mobility & Smart Cities,"Rapid environmental diagnostics via data science & environmental engineering. Instant biodiversity, carbon & risk assessments for large-scale infrastructure. Reduce costs, improve resilience, non-financial reporting support. Contact us for a demo.",https://vivatechnology.com/partners/green-praxis
Green-Y Energy AG,hall1 Booth B38-021,https://www.green-y.ch/en/,"Growth & Investment, Industry & Supply Chain, Climate Tech","Green-Y reduces energy cost for industry clients by providing a next-gen efficient compressed air technology with strong early traction, growing sales pipeline and scalable distribution model through OEMs and partners.",https://vivatechnology.com/partners/green-y-energy-ag
Green4Cloud,hall1 Booth H22-009,https://www.green4.cloud,"Consulting & B2B services, Cloud & Infrastructure, Connectivity, Cloud & Infrastructure","An eco-responsible cloud for uncompromising performance
Our company offers an eco-responsible, high-performance and secure French cloud solution to meet your business needs while protecting the environment. Our data centers, located in France, provide opt",https://vivatechnology.com/partners/green4cloud
